statecode,countyname,reported_propertytype,bldg_count
IL,LaSalle County,Health Care,9
IL,LaSalle County,Hospitality,29
IL,LaSalle County,Industrial,187
IL,LaSalle County,Multi-Family,78
IL,LaSalle County,Office,171
IL,LaSalle County,Retail,665
IL,LaSalle County,Specialty,66
IL,LaSalle County,Sports & Entertainment,8
IL,Lake County,Flex,199
IL,Lake County,Health Care,67
IL,Lake County,Hospitality,86
IL,Lake County,Industrial,1529
IL,Lake County,Multi-Family,632
IL,Lake County,Office,1178
IL,Lake County,Retail,2810
IL,Lake County,Specialty,282
IL,Lake County,Sports & Entertainment,30
IL,Lawrence County,Multi-Family,6
IL,Lawrence County,Office,10
IL,Lawrence County,Retail,28
IL,Lawrence County,Specialty,6
IL,Lee County,Flex,3
IL,Lee County,Health Care,3
IL,Lee County,Hospitality,1
IL,Lee County,Industrial,47
IL,Lee County,Multi-Family,22
IL,Lee County,Office,37
IL,Lee County,Retail,141
IL,Lee County,Specialty,18
IL,Lee County,Sports & Entertainment,1
IL,Livingston County,Flex,3
IL,Livingston County,Health Care,1
IL,Livingston County,Hospitality,7
IL,Livingston County,Industrial,23
IL,Livingston County,Multi-Family,14
IL,Livingston County,Office,26
IL,Livingston County,Retail,156
IL,Livingston County,Specialty,22
IL,Livingston County,Sports & Entertainment,1
IL,Logan County,Flex,2
IL,Logan County,Health Care,1
IL,Logan County,Hospitality,3
IL,Logan County,Industrial,21
IL,Logan County,Multi-Family,15
IL,Logan County,Office,27
IL,Logan County,Retail,100
IL,Logan County,Specialty,18
IL,Macon County,Flex,14
IL,Macon County,Health Care,24
IL,Macon County,Hospitality,9
IL,Macon County,Industrial,175
IL,Macon County,Multi-Family,111
IL,Macon County,Office,170
IL,Macon County,Retail,437
IL,Macon County,Specialty,57
IL,Macon County,Sports & Entertainment,4
IL,Macoupin County,Flex,5
IL,Macoupin County,Health Care,1
IL,Macoupin County,Hospitality,2
IL,Macoupin County,Industrial,25
IL,Macoupin County,Multi-Family,17
IL,Macoupin County,Office,38
IL,Macoupin County,Retail,168
IL,Macoupin County,Specialty,29
IL,Madison County,Flex,32
IL,Madison County,Health Care,25
IL,Madison County,Hospitality,36
IL,Madison County,Industrial,460
IL,Madison County,Multi-Family,248
IL,Madison County,Office,821
IL,Madison County,Retail,1357
IL,Madison County,Specialty,168
IL,Madison County,Sports & Entertainment,14
IL,Marion County,Flex,1
IL,Marion County,Health Care,6
IL,Marion County,Hospitality,6
IL,Marion County,Industrial,38
IL,Marion County,Multi-Family,12
IL,Marion County,Office,44
IL,Marion County,Retail,112
IL,Marion County,Specialty,17
IL,Marion County,Sports & Entertainment,1
IL,Marshall County,Health Care,1
IL,Marshall County,Hospitality,1
IL,Marshall County,Industrial,9
IL,Marshall County,Multi-Family,10
IL,Marshall County,Office,13
IL,Marshall County,Retail,69
IL,Marshall County,Specialty,10
IL,Mason County,Flex,1
IL,Mason County,Hospitality,1
IL,Mason County,Industrial,2
IL,Mason County,Multi-Family,3
IL,Mason County,Office,10
IL,Mason County,Retail,28
IL,Mason County,Specialty,14
IL,Massac County,Flex,1
IL,Massac County,Health Care,1
IL,Massac County,Hospitality,5
IL,Massac County,Industrial,10
IL,Massac County,Multi-Family,5
IL,Massac County,Office,14
IL,Massac County,Retail,38
IL,Massac County,Specialty,4
IL,McDonough County,Flex,1
IL,McDonough County,Hospitality,5
IL,McDonough County,Industrial,6
IL,McDonough County,Multi-Family,30
IL,McDonough County,Office,30
IL,McDonough County,Retail,109
IL,McDonough County,Specialty,38
IL,McHenry County,Flex,74
IL,McHenry County,Health Care,26
IL,McHenry County,Hospitality,23
IL,McHenry County,Industrial,828
IL,McHenry County,Multi-Family,191
IL,McHenry County,Office,645
IL,McHenry County,Retail,1481
IL,McHenry County,Specialty,164
IL,McHenry County,Sports & Entertainment,27
IL,McLean County,Flex,47
IL,McLean County,Health Care,13
IL,McLean County,Hospitality,25
IL,McLean County,Industrial,188
IL,McLean County,Multi-Family,475
IL,McLean County,Office,303
IL,McLean County,Retail,603
IL,McLean County,Specialty,66
IL,McLean County,Sports & Entertainment,2
IL,Menard County,Industrial,5
IL,Menard County,Multi-Family,1
IL,Menard County,Office,5
IL,Menard County,Retail,29
IL,Menard County,Specialty,9
IL,Menard County,Sports & Entertainment,1
IL,Mercer County,Flex,1
IL,Mercer County,Health Care,1
IL,Mercer County,Hospitality,1
IL,Mercer County,Industrial,5
IL,Mercer County,Multi-Family,8
IL,Mercer County,Office,10
IL,Mercer County,Retail,46
IL,Mercer County,Specialty,12
IL,Monroe County,Flex,3
IL,Monroe County,Health Care,5
IL,Monroe County,Hospitality,4
IL,Monroe County,Industrial,22
IL,Monroe County,Multi-Family,16
IL,Monroe County,Office,59
IL,Monroe County,Retail,115
IL,Monroe County,Specialty,10
IL,Montgomery County,Flex,2
IL,Montgomery County,Health Care,5
IL,Montgomery County,Hospitality,5
IL,Montgomery County,Industrial,36
IL,Montgomery County,Multi-Family,16
IL,Montgomery County,Office,36
IL,Montgomery County,Retail,171
IL,Montgomery County,Specialty,23
IL,Montgomery County,Sports & Entertainment,2
IL,Morgan County,Flex,1
IL,Morgan County,Health Care,1
IL,Morgan County,Hospitality,4
IL,Morgan County,Industrial,18
IL,Morgan County,Multi-Family,12
IL,Morgan County,Office,29
IL,Morgan County,Retail,109
IL,Morgan County,Specialty,11
IL,Morgan County,Sports & Entertainment,3
IL,Moultrie County,Industrial,2
IL,Moultrie County,Multi-Family,8
IL,Moultrie County,Office,7
IL,Moultrie County,Retail,39
IL,Moultrie County,Specialty,3
IL,Moultrie County,Sports & Entertainment,1
IL,Ogle County,Flex,6
IL,Ogle County,Health Care,3
IL,Ogle County,Hospitality,8
IL,Ogle County,Industrial,79
IL,Ogle County,Multi-Family,47
IL,Ogle County,Office,59
IL,Ogle County,Retail,218
IL,Ogle County,Specialty,38
IL,Ogle County,Sports & Entertainment,1
IL,Peoria County,Flex,115
IL,Peoria County,Health Care,41
IL,Peoria County,Hospitality,25
IL,Peoria County,Industrial,335
IL,Peoria County,Multi-Family,193
IL,Peoria County,Office,533
IL,Peoria County,Retail,1176
IL,Peoria County,Specialty,119
IL,Peoria County,Sports & Entertainment,9
IL,Perry County,Flex,1
IL,Perry County,Health Care,3
IL,Perry County,Hospitality,3
IL,Perry County,Industrial,8
IL,Perry County,Multi-Family,6
IL,Perry County,Office,18
IL,Perry County,Retail,73
IL,Perry County,Specialty,11
IL,Perry County,Sports & Entertainment,1
IL,Piatt County,Flex,1
IL,Piatt County,Health Care,4
IL,Piatt County,Hospitality,1
IL,Piatt County,Industrial,8
IL,Piatt County,Multi-Family,4
IL,Piatt County,Office,7
IL,Piatt County,Retail,43
IL,Piatt County,Specialty,12
IL,Pike County,Flex,1
IL,Pike County,Health Care,1
IL,Pike County,Hospitality,2
IL,Pike County,Industrial,7
IL,Pike County,Office,10
IL,Pike County,Retail,34
IL,Pike County,Specialty,15
IL,Pope County,Office,1
IL,Pope County,Retail,3
IL,Pope County,Specialty,1
IL,Pulaski County,Flex,1
IL,Pulaski County,Hospitality,1
IL,Pulaski County,Industrial,2
IL,Pulaski County,Multi-Family,1
IL,Pulaski County,Office,2
IL,Pulaski County,Retail,6
IL,Pulaski County,Specialty,8
IL,Putnam County,Industrial,5
IL,Putnam County,Multi-Family,1
IL,Putnam County,Office,6
IL,Putnam County,Retail,17
IL,Putnam County,Specialty,5
IL,Randolph County,Flex,1
IL,Randolph County,Health Care,3
IL,Randolph County,Hospitality,5
IL,Randolph County,Industrial,15
IL,Randolph County,Multi-Family,16
IL,Randolph County,Office,33
IL,Randolph County,Retail,106
IL,Randolph County,Specialty,13
IL,Richland County,Health Care,3
IL,Richland County,Hospitality,3
IL,Richland County,Industrial,7
IL,Richland County,Multi-Family,3
IL,Richland County,Office,16
IL,Richland County,Retail,43
IL,Richland County,Specialty,6
IL,Rock Island County,Flex,20
IL,Rock Island County,Health Care,17
IL,Rock Island County,Hospitality,24
IL,Rock Island County,Industrial,295
IL,Rock Island County,Multi-Family,175
IL,Rock Island County,Office,324
IL,Rock Island County,Retail,894
IL,Rock Island County,Specialty,70
IL,Rock Island County,Sports & Entertainment,8
IL,Saline County,Health Care,3
IL,Saline County,Industrial,11
IL,Saline County,Multi-Family,3
IL,Saline County,Office,24
IL,Saline County,Retail,81
IL,Saline County,Specialty,18
IL,Saline County,Sports & Entertainment,1
IL,Sangamon County,Flex,40
IL,Sangamon County,Health Care,13
IL,Sangamon County,Hospitality,33
IL,Sangamon County,Industrial,254
IL,Sangamon County,Multi-Family,207
IL,Sangamon County,Office,604
IL,Sangamon County,Retail,860
IL,Sangamon County,Specialty,74
IL,Sangamon County,Sports & Entertainment,7
IL,Schuyler County,Hospitality,1
IL,Schuyler County,Office,4
IL,Schuyler County,Retail,15
IL,Schuyler County,Specialty,3
IL,Scott County,Industrial,1
IL,Scott County,Office,3
IL,Scott County,Retail,5
IL,Scott County,Specialty,2
IL,Shelby County,Flex,1
IL,Shelby County,Health Care,4
IL,Shelby County,Hospitality,2
IL,Shelby County,Industrial,1
IL,Shelby County,Multi-Family,5
IL,Shelby County,Office,7
IL,Shelby County,Retail,43
IL,Shelby County,Specialty,16
IL,St. Clair County,Flex,27
IL,St. Clair County,Health Care,24
IL,St. Clair County,Hospitality,37
IL,St. Clair County,Industrial,316
IL,St. Clair County,Multi-Family,350
IL,St. Clair County,Office,742
IL,St. Clair County,Retail,1273
IL,St. Clair County,Specialty,117
IL,St. Clair County,Sports & Entertainment,11
IL,Stark County,Industrial,4
IL,Stark County,Multi-Family,2
IL,Stark County,Office,4
IL,Stark County,Retail,15
IL,Stark County,Specialty,3
IL,Stephenson County,Flex,1
IL,Stephenson County,Health Care,2
IL,Stephenson County,Hospitality,7
IL,Stephenson County,Industrial,24
IL,Stephenson County,Multi-Family,28
IL,Stephenson County,Office,51
IL,Stephenson County,Retail,135
IL,Stephenson County,Specialty,58
IL,Tazewell County,Flex,24
IL,Tazewell County,Health Care,12
IL,Tazewell County,Hospitality,15
IL,Tazewell County,Industrial,210
IL,Tazewell County,Multi-Family,77
IL,Tazewell County,Office,162
IL,Tazewell County,Retail,597
IL,Tazewell County,Specialty,57
IL,Tazewell County,Sports & Entertainment,5
IL,Union County,Health Care,1
IL,Union County,Hospitality,5
IL,Union County,Industrial,4
IL,Union County,Multi-Family,5
IL,Union County,Office,8
IL,Union County,Retail,44
IL,Union County,Specialty,10
IL,Union County,Sports & Entertainment,2
IL,Vermilion County,Flex,8
IL,Vermilion County,Health Care,5
IL,Vermilion County,Hospitality,8
IL,Vermilion County,Industrial,75
IL,Vermilion County,Multi-Family,30
IL,Vermilion County,Office,88
IL,Vermilion County,Retail,298
IL,Vermilion County,Specialty,39
IL,Vermilion County,Sports & Entertainment,1
IL,Wabash County,Health Care,2
IL,Wabash County,Hospitality,2
IL,Wabash County,Industrial,2
IL,Wabash County,Multi-Family,4
IL,Wabash County,Office,12
IL,Wabash County,Retail,26
IL,Wabash County,Specialty,2
IL,Warren County,Health Care,2
IL,Warren County,Industrial,14
IL,Warren County,Multi-Family,3
IL,Warren County,Office,8
IL,Warren County,Retail,43
IL,Warren County,Specialty,11
IL,Washington County,Hospitality,2
IL,Washington County,Industrial,6
IL,Washington County,Multi-Family,8
IL,Washington County,Office,9
IL,Washington County,Retail,46
IL,Washington County,Specialty,12
IL,Wayne County,Health Care,1
IL,Wayne County,Industrial,5
IL,Wayne County,Multi-Family,7
IL,Wayne County,Office,11
IL,Wayne County,Retail,34
IL,Wayne County,Specialty,2
IL,Wayne County,Sports & Entertainment,1
IL,White County,Hospitality,2
IL,White County,Industrial,1
IL,White County,Multi-Family,6
IL,White County,Office,11
IL,White County,Retail,28
IL,White County,Specialty,9
IL,Whiteside County,Flex,3
IL,Whiteside County,Health Care,1
IL,Whiteside County,Hospitality,6
IL,Whiteside County,Industrial,43
IL,Whiteside County,Multi-Family,34
IL,Whiteside County,Office,70
IL,Whiteside County,Retail,209
IL,Whiteside County,Specialty,27
IL,Whiteside County,Sports & Entertainment,4
IL,Will County,Flex,115
IL,Will County,Health Care,33
IL,Will County,Hospitality,64
IL,Will County,Industrial,1990
IL,Will County,Multi-Family,302
IL,Will County,Office,844
IL,Will County,Retail,2353
IL,Will County,Specialty,232
IL,Will County,Sports & Entertainment,35
IL,Williamson County,Flex,14
IL,Williamson County,Health Care,8
IL,Williamson County,Hospitality,11
IL,Williamson County,Industrial,35
IL,Williamson County,Multi-Family,48
IL,Williamson County,Office,124
IL,Williamson County,Retail,251
IL,Williamson County,Specialty,28
IL,Williamson County,Sports & Entertainment,2
IL,Winnebago County,Flex,39
IL,Winnebago County,Health Care,35
IL,Winnebago County,Hospitality,29
IL,Winnebago County,Industrial,632
IL,Winnebago County,Multi-Family,347
IL,Winnebago County,Office,488
IL,Winnebago County,Retail,1193
IL,Winnebago County,Specialty,132
IL,Winnebago County,Sports & Entertainment,6
IL,Woodford County,Flex,1
IL,Woodford County,Health Care,1
IL,Woodford County,Hospitality,1
IL,Woodford County,Industrial,29
IL,Woodford County,Multi-Family,10
IL,Woodford County,Office,34
IL,Woodford County,Retail,129
IL,Woodford County,Specialty,20
IN,Adams County,Flex,2
IN,Adams County,Health Care,4
IN,Adams County,Hospitality,5
IN,Adams County,Industrial,25
IN,Adams County,Multi-Family,20
IN,Adams County,Office,21
IN,Adams County,Retail,139
IN,Adams County,Specialty,12
IN,Allen County,Flex,184
IN,Allen County,Health Care,42
IN,Allen County,Hospitality,57
IN,Allen County,Industrial,1142
IN,Allen County,Multi-Family,330
IN,Allen County,Office,1134
IN,Allen County,Retail,2110
IN,Allen County,Specialty,209
IN,Allen County,Sports & Entertainment,19
IN,Bartholomew County,Flex,22
IN,Bartholomew County,Health Care,8
IN,Bartholomew County,Hospitality,12
IN,Bartholomew County,Industrial,152
IN,Bartholomew County,Multi-Family,59
IN,Bartholomew County,Office,160
IN,Bartholomew County,Retail,316
IN,Bartholomew County,Specialty,27
IN,Benton County,Flex,1
IN,Benton County,Health Care,1
IN,Benton County,Industrial,18
IN,Benton County,Multi-Family,2
IN,Benton County,Office,5
IN,Benton County,Retail,36
IN,Benton County,Specialty,5
IN,Benton County,Sports & Entertainment,1
IN,Blackford County,Flex,2
IN,Blackford County,Health Care,1
IN,Blackford County,Industrial,20
IN,Blackford County,Multi-Family,8
IN,Blackford County,Office,16
IN,Blackford County,Retail,51
IN,Blackford County,Specialty,9
IN,Boone County,Flex,32
IN,Boone County,Health Care,7
IN,Boone County,Hospitality,5
IN,Boone County,Industrial,240
IN,Boone County,Multi-Family,61
IN,Boone County,Office,175
IN,Boone County,Retail,253
IN,Boone County,Specialty,26
IN,Boone County,Sports & Entertainment,1
IN,Brown County,Health Care,1
IN,Brown County,Hospitality,16
IN,Brown County,Industrial,3
IN,Brown County,Multi-Family,6
IN,Brown County,Office,19
IN,Brown County,Retail,52
IN,Brown County,Specialty,8
IN,Brown County,Sports & Entertainment,2
IN,Carroll County,Flex,2
IN,Carroll County,Health Care,1
IN,Carroll County,Hospitality,3
IN,Carroll County,Industrial,16
IN,Carroll County,Multi-Family,16
IN,Carroll County,Office,11
IN,Carroll County,Retail,68
IN,Carroll County,Specialty,8
IN,Cass County,Flex,3
IN,Cass County,Health Care,2
IN,Cass County,Hospitality,3
IN,Cass County,Industrial,29
IN,Cass County,Multi-Family,16
IN,Cass County,Office,39
IN,Cass County,Retail,148
IN,Cass County,Specialty,13
IN,Cass County,Sports & Entertainment,2
IN,Clark County,Flex,27
IN,Clark County,Health Care,20
IN,Clark County,Hospitality,38
IN,Clark County,Industrial,609
IN,Clark County,Multi-Family,136
IN,Clark County,Office,419
IN,Clark County,Retail,892
IN,Clark County,Specialty,146
IN,Clark County,Sports & Entertainment,7
IN,Clay County,Flex,2
IN,Clay County,Health Care,1
IN,Clay County,Hospitality,4
IN,Clay County,Industrial,27
IN,Clay County,Multi-Family,8
IN,Clay County,Office,20
IN,Clay County,Retail,95
IN,Clay County,Specialty,17
IN,Clay County,Sports & Entertainment,1
IN,Clinton County,Flex,2
IN,Clinton County,Hospitality,2
IN,Clinton County,Industrial,37
IN,Clinton County,Multi-Family,17
IN,Clinton County,Office,24
IN,Clinton County,Retail,129
IN,Clinton County,Specialty,14
IN,Clinton County,Sports & Entertainment,1
IN,Crawford County,Health Care,1
IN,Crawford County,Hospitality,1
IN,Crawford County,Industrial,4
IN,Crawford County,Multi-Family,2
IN,Crawford County,Office,6
IN,Crawford County,Retail,23
IN,Crawford County,Specialty,8
IN,Daviess County,Flex,1
IN,Daviess County,Health Care,3
IN,Daviess County,Industrial,18
IN,Daviess County,Multi-Family,10
IN,Daviess County,Office,23
IN,Daviess County,Retail,82
IN,Daviess County,Specialty,10
IN,Daviess County,Sports & Entertainment,1
IN,DeKalb County,Flex,4
IN,DeKalb County,Health Care,3
IN,DeKalb County,Hospitality,6
IN,DeKalb County,Industrial,82
IN,DeKalb County,Multi-Family,24
IN,DeKalb County,Office,39
IN,DeKalb County,Retail,155
IN,DeKalb County,Specialty,17
IN,DeKalb County,Sports & Entertainment,1
IN,Dearborn County,Flex,2
IN,Dearborn County,Health Care,6
IN,Dearborn County,Hospitality,12
IN,Dearborn County,Industrial,49
IN,Dearborn County,Multi-Family,24
IN,Dearborn County,Office,83
IN,Dearborn County,Retail,238
IN,Dearborn County,Specialty,20
IN,Dearborn County,Sports & Entertainment,2
IN,Decatur County,Flex,5
IN,Decatur County,Health Care,2
IN,Decatur County,Hospitality,4
IN,Decatur County,Industrial,30
IN,Decatur County,Multi-Family,21
IN,Decatur County,Office,38
IN,Decatur County,Retail,104
IN,Decatur County,Specialty,11
IN,Decatur County,Sports & Entertainment,1
IN,Delaware County,Flex,31
IN,Delaware County,Health Care,11
IN,Delaware County,Hospitality,19
IN,Delaware County,Industrial,283
IN,Delaware County,Multi-Family,131
IN,Delaware County,Office,295
IN,Delaware County,Retail,630
IN,Delaware County,Specialty,56
IN,Delaware County,Sports & Entertainment,4
IN,Dubois County,Flex,5
IN,Dubois County,Health Care,5
IN,Dubois County,Hospitality,5
IN,Dubois County,Industrial,42
IN,Dubois County,Multi-Family,15
IN,Dubois County,Office,43
IN,Dubois County,Retail,157
IN,Dubois County,Specialty,16
IN,Elkhart County,Flex,72
IN,Elkhart County,Health Care,18
IN,Elkhart County,Hospitality,45
IN,Elkhart County,Industrial,1613
IN,Elkhart County,Multi-Family,131
IN,Elkhart County,Office,541
IN,Elkhart County,Retail,1382
IN,Elkhart County,Specialty,146
IN,Elkhart County,Sports & Entertainment,9
IN,Fayette County,Health Care,3
IN,Fayette County,Hospitality,3
IN,Fayette County,Industrial,14
IN,Fayette County,Multi-Family,9
IN,Fayette County,Office,19
IN,Fayette County,Retail,80
IN,Fayette County,Specialty,4
IN,Floyd County,Flex,26
IN,Floyd County,Health Care,11
IN,Floyd County,Hospitality,8
IN,Floyd County,Industrial,230
IN,Floyd County,Multi-Family,89
IN,Floyd County,Office,316
IN,Floyd County,Retail,610
IN,Floyd County,Specialty,58
IN,Floyd County,Sports & Entertainment,1
IN,Fountain County,Industrial,3
IN,Fountain County,Multi-Family,3
IN,Fountain County,Office,10
IN,Fountain County,Retail,47
IN,Fountain County,Specialty,4
IN,Franklin County,Health Care,2
IN,Franklin County,Hospitality,2
IN,Franklin County,Industrial,9
IN,Franklin County,Multi-Family,8
IN,Franklin County,Office,14
IN,Franklin County,Retail,94
IN,Franklin County,Specialty,11
IN,Franklin County,Sports & Entertainment,1
IN,Fulton County,Health Care,2
IN,Fulton County,Hospitality,3
IN,Fulton County,Industrial,24
IN,Fulton County,Multi-Family,27
IN,Fulton County,Office,14
IN,Fulton County,Retail,70
IN,Fulton County,Specialty,9
IN,Gibson County,Flex,2
IN,Gibson County,Health Care,3
IN,Gibson County,Hospitality,5
IN,Gibson County,Industrial,49
IN,Gibson County,Multi-Family,18
IN,Gibson County,Office,60
IN,Gibson County,Retail,189
IN,Gibson County,Specialty,20
IN,Gibson County,Sports & Entertainment,1
IN,Grant County,Flex,9
IN,Grant County,Health Care,4
IN,Grant County,Hospitality,10
IN,Grant County,Industrial,85
IN,Grant County,Multi-Family,57
IN,Grant County,Office,110
IN,Grant County,Retail,390
IN,Grant County,Specialty,34
IN,Grant County,Sports & Entertainment,2
IN,Greene County,Health Care,1
IN,Greene County,Hospitality,2
IN,Greene County,Industrial,10
IN,Greene County,Multi-Family,13
IN,Greene County,Office,12
IN,Greene County,Retail,82
IN,Greene County,Specialty,13
IN,Greene County,Sports & Entertainment,1
IN,Hamilton County,Flex,142
IN,Hamilton County,Health Care,40
IN,Hamilton County,Hospitality,37
IN,Hamilton County,Industrial,457
IN,Hamilton County,Multi-Family,135
IN,Hamilton County,Office,895
IN,Hamilton County,Retail,1214
IN,Hamilton County,Specialty,115
IN,Hamilton County,Sports & Entertainment,17
IN,Hancock County,Flex,20
IN,Hancock County,Health Care,7
IN,Hancock County,Hospitality,6
IN,Hancock County,Industrial,139
IN,Hancock County,Multi-Family,32
IN,Hancock County,Office,176
IN,Hancock County,Retail,310
IN,Hancock County,Specialty,30
IN,Hancock County,Sports & Entertainment,2
IN,Harrison County,Flex,1
IN,Harrison County,Health Care,7
IN,Harrison County,Hospitality,10
IN,Harrison County,Industrial,70
IN,Harrison County,Multi-Family,20
IN,Harrison County,Office,59
IN,Harrison County,Retail,204
IN,Harrison County,Specialty,21
IN,Harrison County,Sports & Entertainment,3
IN,Hendricks County,Flex,49
IN,Hendricks County,Health Care,24
IN,Hendricks County,Hospitality,26
IN,Hendricks County,Industrial,386
IN,Hendricks County,Multi-Family,103
IN,Hendricks County,Office,357
IN,Hendricks County,Retail,781
IN,Hendricks County,Specialty,97
IN,Hendricks County,Sports & Entertainment,3
IN,Henry County,Flex,6
IN,Henry County,Health Care,4
IN,Henry County,Hospitality,4
IN,Henry County,Industrial,83
IN,Henry County,Multi-Family,25
IN,Henry County,Office,63
IN,Henry County,Retail,247
IN,Henry County,Specialty,19
IN,Henry County,Sports & Entertainment,3
IN,Howard County,Flex,18
IN,Howard County,Health Care,10
IN,Howard County,Hospitality,11
IN,Howard County,Industrial,118
IN,Howard County,Multi-Family,68
IN,Howard County,Office,159
IN,Howard County,Retail,431
IN,Howard County,Specialty,52
IN,Howard County,Sports & Entertainment,4
IN,Huntington County,Flex,1
IN,Huntington County,Health Care,1
IN,Huntington County,Hospitality,8
IN,Huntington County,Industrial,47
IN,Huntington County,Multi-Family,23
IN,Huntington County,Office,38
IN,Huntington County,Retail,154
IN,Huntington County,Specialty,18
IN,Huntington County,Sports & Entertainment,2
IN,Jackson County,Flex,2
IN,Jackson County,Health Care,5
IN,Jackson County,Hospitality,6
IN,Jackson County,Industrial,56
IN,Jackson County,Multi-Family,30
IN,Jackson County,Office,60
IN,Jackson County,Retail,158
IN,Jackson County,Specialty,19
IN,Jasper County,Flex,1
IN,Jasper County,Hospitality,3
IN,Jasper County,Industrial,40
IN,Jasper County,Multi-Family,10
IN,Jasper County,Office,31
IN,Jasper County,Retail,130
IN,Jasper County,Specialty,16
IN,Jay County,Health Care,1
IN,Jay County,Hospitality,3
IN,Jay County,Industrial,22
IN,Jay County,Multi-Family,10
IN,Jay County,Office,11
IN,Jay County,Retail,74
IN,Jay County,Specialty,10
IN,Jay County,Sports & Entertainment,1
IN,Jefferson County,Health Care,5
IN,Jefferson County,Hospitality,9
IN,Jefferson County,Industrial,25
IN,Jefferson County,Multi-Family,23
IN,Jefferson County,Office,32
IN,Jefferson County,Retail,121
IN,Jefferson County,Specialty,13
IN,Jefferson County,Sports & Entertainment,1
IN,Jennings County,Flex,1
IN,Jennings County,Health Care,1
IN,Jennings County,Hospitality,2
IN,Jennings County,Industrial,23
IN,Jennings County,Multi-Family,11
IN,Jennings County,Office,18
IN,Jennings County,Retail,83
IN,Jennings County,Specialty,15
IN,Johnson County,Flex,84
IN,Johnson County,Health Care,20
IN,Johnson County,Hospitality,13
IN,Johnson County,Industrial,316
IN,Johnson County,Multi-Family,97
IN,Johnson County,Office,403
IN,Johnson County,Retail,785
IN,Johnson County,Specialty,79
IN,Johnson County,Sports & Entertainment,7
IN,Knox County,Flex,7
IN,Knox County,Health Care,4
IN,Knox County,Hospitality,4
IN,Knox County,Industrial,34
IN,Knox County,Multi-Family,21
IN,Knox County,Office,47
IN,Knox County,Retail,184
IN,Knox County,Specialty,29
IN,Kosciusko County,Flex,24
IN,Kosciusko County,Health Care,3
IN,Kosciusko County,Hospitality,10
IN,Kosciusko County,Industrial,154
IN,Kosciusko County,Multi-Family,52
IN,Kosciusko County,Office,124
IN,Kosciusko County,Retail,355
IN,Kosciusko County,Specialty,33
IN,Kosciusko County,Sports & Entertainment,3
IN,LaGrange County,Flex,2
IN,LaGrange County,Health Care,1
IN,LaGrange County,Hospitality,7
IN,LaGrange County,Industrial,30
IN,LaGrange County,Multi-Family,9
IN,LaGrange County,Office,21
IN,LaGrange County,Retail,96
IN,LaGrange County,Specialty,38
IN,LaGrange County,Sports & Entertainment,2
IN,LaPorte County,Flex,21
IN,LaPorte County,Health Care,10
IN,LaPorte County,Hospitality,27
IN,LaPorte County,Industrial,186
IN,LaPorte County,Multi-Family,61
IN,LaPorte County,Office,169
IN,LaPorte County,Retail,600
IN,LaPorte County,Specialty,68
IN,LaPorte County,Sports & Entertainment,3
IN,Lake County,Flex,164
IN,Lake County,Health Care,49
IN,Lake County,Hospitality,51
IN,Lake County,Industrial,863
IN,Lake County,Multi-Family,469
IN,Lake County,Office,966
IN,Lake County,Retail,2835
IN,Lake County,Specialty,355
IN,Lake County,Sports & Entertainment,24
IN,Lawrence County,Flex,1
IN,Lawrence County,Health Care,2
IN,Lawrence County,Hospitality,6
IN,Lawrence County,Industrial,37
IN,Lawrence County,Multi-Family,22
IN,Lawrence County,Office,57
IN,Lawrence County,Retail,163
IN,Lawrence County,Specialty,16
IN,Lawrence County,Sports & Entertainment,1
IN,Madison County,Flex,22
IN,Madison County,Health Care,10
IN,Madison County,Hospitality,16
IN,Madison County,Industrial,210
IN,Madison County,Multi-Family,95
IN,Madison County,Office,334
IN,Madison County,Retail,737
IN,Madison County,Specialty,83
IN,Madison County,Sports & Entertainment,5
IN,Marion County,Flex,646
IN,Marion County,Health Care,109
IN,Marion County,Hospitality,191
IN,Marion County,Industrial,3629
IN,Marion County,Multi-Family,1243
IN,Marion County,Office,3099
IN,Marion County,Retail,5682
IN,Marion County,Specialty,785
IN,Marion County,Sports & Entertainment,38
IN,Marshall County,Flex,12
IN,Marshall County,Health Care,4
IN,Marshall County,Hospitality,12
IN,Marshall County,Industrial,123
IN,Marshall County,Multi-Family,41
IN,Marshall County,Office,47
IN,Marshall County,Retail,231
IN,Marshall County,Specialty,16
IN,Marshall County,Sports & Entertainment,2
IN,Martin County,Hospitality,1
IN,Martin County,Industrial,4
IN,Martin County,Multi-Family,4
IN,Martin County,Office,10
IN,Martin County,Retail,27
IN,Martin County,Specialty,3
IN,Miami County,Flex,7
IN,Miami County,Health Care,4
IN,Miami County,Hospitality,4
IN,Miami County,Industrial,50
IN,Miami County,Multi-Family,24
IN,Miami County,Office,34
IN,Miami County,Retail,100
IN,Miami County,Specialty,18
IN,Miami County,Sports & Entertainment,1
IN,Monroe County,Flex,23
IN,Monroe County,Health Care,14
IN,Monroe County,Hospitality,18
IN,Monroe County,Industrial,152
IN,Monroe County,Multi-Family,246
IN,Monroe County,Office,284
IN,Monroe County,Retail,519
IN,Monroe County,Specialty,41
IN,Monroe County,Sports & Entertainment,4
IN,Montgomery County,Flex,2
IN,Montgomery County,Health Care,4
IN,Montgomery County,Hospitality,6
IN,Montgomery County,Industrial,44
IN,Montgomery County,Multi-Family,21
IN,Montgomery County,Office,54
IN,Montgomery County,Retail,162
